000000 0000 NOP
0****************************************************
000001 0001 NOP
000002 0002 NOP
000003 0003 JMP    $18D4
000004 18D4 LXI    SP,#$2400
000005 18D7 MVI    B,#$00
000006 18D9 CALL   $01E6
000007 01E6 LXI    D,#$1B00
000008 01E9 LXI    H,#$2000
000009 01EC JMP    $1A32
000010 1A32 LDAX   D
000011 1A33 MOV    M,A
000012 1A34 INX    H
000013 1A35 INX    D
000014 1A36 DCR    B --- B: 00
000015 1A37 JNZ    $1A32
000016 1A32 LDAX   D
000017 1A33 MOV    M,A
000018 1A34 INX    H
000019 1A35 INX    D
000020 1A36 DCR    B --- B: FF
000021 1A37 JNZ    $1A32
000022 1A32 LDAX   D
000023 1A33 MOV    M,A
000024 1A34 INX    H
000025 1A35 INX    D
000026 1A36 DCR    B --- B: FE
000027 1A37 JNZ    $1A32
000028 1A32 LDAX   D
000029 1A33 MOV    M,A
000030 1A34 INX    H
000031 1A35 INX    D
000032 1A36 DCR    B --- B: FD
000033 1A37 JNZ    $1A32
000034 1A32 LDAX   D
000035 1A33 MOV    M,A
000036 1A34 INX    H
000037 1A35 INX    D
000038 1A36 DCR    B --- B: FC
000039 1A37 JNZ    $1A32
000040 1A32 LDAX   D
000041 1A33 MOV    M,A
000042 1A34 INX    H
000043 1A35 INX    D
000044 1A36 DCR    B --- B: FB
000045 1A37 JNZ    $1A32
000046 1A32 LDAX   D
000047 1A33 MOV    M,A
000048 1A34 INX    H
000049 1A35 INX    D
000050 1A36 DCR    B --- B: FA
000051 1A37 JNZ    $1A32
000052 1A32 LDAX   D
000053 1A33 MOV    M,A
000054 1A34 INX    H
000055 1A35 INX    D
000056 1A36 DCR    B --- B: F9
000057 1A37 JNZ    $1A32
000058 1A32 LDAX   D
000059 1A33 MOV    M,A
000060 1A34 INX    H
000061 1A35 INX    D
000062 1A36 DCR    B --- B: F8
000063 1A37 JNZ    $1A32
000064 1A32 LDAX   D
000065 1A33 MOV    M,A
000066 1A34 INX    H
000067 1A35 INX    D
000068 1A36 DCR    B --- B: F7
000069 1A37 JNZ    $1A32
000070 1A32 LDAX   D
000071 1A33 MOV    M,A
000072 1A34 INX    H
000073 1A35 INX    D
000074 1A36 DCR    B --- B: F6
000075 1A37 JNZ    $1A32
000076 1A32 LDAX   D
000077 1A33 MOV    M,A
000078 1A34 INX    H
000079 1A35 INX    D
000080 1A36 DCR    B --- B: F5
000081 1A37 JNZ    $1A32
000082 1A32 LDAX   D
000083 1A33 MOV    M,A
000084 1A34 INX    H
000085 1A35 INX    D
000086 1A36 DCR    B --- B: F4
000087 1A37 JNZ    $1A32
000088 1A32 LDAX   D
000089 1A33 MOV    M,A
000090 1A34 INX    H
000091 1A35 INX    D
000092 1A36 DCR    B --- B: F3
000093 1A37 JNZ    $1A32
000094 1A32 LDAX   D
000095 1A33 MOV    M,A
000096 1A34 INX    H
000097 1A35 INX    D
000098 1A36 DCR    B --- B: F2
000099 1A37 JNZ    $1A32
000100 1A32 LDAX   D
000101 1A33 MOV    M,A
000102 1A34 INX    H
000103 1A35 INX    D
000104 1A36 DCR    B --- B: F1
000105 1A37 JNZ    $1A32
000106 1A32 LDAX   D
000107 1A33 MOV    M,A
000108 1A34 INX    H
000109 1A35 INX    D
000110 1A36 DCR    B --- B: F0
000111 1A37 JNZ    $1A32
000112 1A32 LDAX   D
000113 1A33 MOV    M,A
000114 1A34 INX    H
000115 1A35 INX    D
000116 1A36 DCR    B --- B: EF
000117 1A37 JNZ    $1A32
000118 1A32 LDAX   D
000119 1A33 MOV    M,A
000120 1A34 INX    H
000121 1A35 INX    D
000122 1A36 DCR    B --- B: EE
000123 1A37 JNZ    $1A32
000124 1A32 LDAX   D
000125 1A33 MOV    M,A
000126 1A34 INX    H
000127 1A35 INX    D
000128 1A36 DCR    B --- B: ED
000129 1A37 JNZ    $1A32
000130 1A32 LDAX   D
000131 1A33 MOV    M,A
000132 1A34 INX    H
000133 1A35 INX    D
000134 1A36 DCR    B --- B: EC
000135 1A37 JNZ    $1A32
000136 1A32 LDAX   D
000137 1A33 MOV    M,A
000138 1A34 INX    H
000139 1A35 INX    D
000140 1A36 DCR    B --- B: EB
000141 1A37 JNZ    $1A32
000142 1A32 LDAX   D
000143 1A33 MOV    M,A
000144 1A34 INX    H
000145 1A35 INX    D
000146 1A36 DCR    B --- B: EA
000147 1A37 JNZ    $1A32
000148 1A32 LDAX   D
000149 1A33 MOV    M,A
000150 1A34 INX    H
000151 1A35 INX    D
000152 1A36 DCR    B --- B: E9
000153 1A37 JNZ    $1A32
000154 1A32 LDAX   D
000155 1A33 MOV    M,A
000156 1A34 INX    H
000157 1A35 INX    D
000158 1A36 DCR    B --- B: E8
000159 1A37 JNZ    $1A32
000160 1A32 LDAX   D
000161 1A33 MOV    M,A
000162 1A34 INX    H
000163 1A35 INX    D
000164 1A36 DCR    B --- B: E7
000165 1A37 JNZ    $1A32
000166 1A32 LDAX   D
000167 1A33 MOV    M,A
000168 1A34 INX    H
000169 1A35 INX    D
000170 1A36 DCR    B --- B: E6
000171 1A37 JNZ    $1A32
000172 1A32 LDAX   D
000173 1A33 MOV    M,A
000174 1A34 INX    H
000175 1A35 INX    D
000176 1A36 DCR    B --- B: E5
000177 1A37 JNZ    $1A32
000178 1A32 LDAX   D
000179 1A33 MOV    M,A
000180 1A34 INX    H
000181 1A35 INX    D
000182 1A36 DCR    B --- B: E4
000183 1A37 JNZ    $1A32
000184 1A32 LDAX   D
000185 1A33 MOV    M,A
000186 1A34 INX    H
000187 1A35 INX    D
000188 1A36 DCR    B --- B: E3
000189 1A37 JNZ    $1A32
000190 1A32 LDAX   D
000191 1A33 MOV    M,A
000192 1A34 INX    H
000193 1A35 INX    D
000194 1A36 DCR    B --- B: E2
000195 1A37 JNZ    $1A32
000196 1A32 LDAX   D
000197 1A33 MOV    M,A
000198 1A34 INX    H
000199 1A35 INX    D
000200 1A36 DCR    B --- B: E1
000201 1A37 JNZ    $1A32
000202 1A32 LDAX   D
000203 1A33 MOV    M,A
000204 1A34 INX    H
000205 1A35 INX    D
000206 1A36 DCR    B --- B: E0
000207 1A37 JNZ    $1A32
000208 1A32 LDAX   D
000209 1A33 MOV    M,A
000210 1A34 INX    H
000211 1A35 INX    D
000212 1A36 DCR    B --- B: DF
000213 1A37 JNZ    $1A32
000214 1A32 LDAX   D
000215 1A33 MOV    M,A
000216 1A34 INX    H
000217 1A35 INX    D
000218 1A36 DCR    B --- B: DE
000219 1A37 JNZ    $1A32
000220 1A32 LDAX   D
000221 1A33 MOV    M,A
000222 1A34 INX    H
000223 1A35 INX    D
000224 1A36 DCR    B --- B: DD
000225 1A37 JNZ    $1A32
000226 1A32 LDAX   D
000227 1A33 MOV    M,A
000228 1A34 INX    H
000229 1A35 INX    D
000230 1A36 DCR    B --- B: DC
000231 1A37 JNZ    $1A32
000232 1A32 LDAX   D
000233 1A33 MOV    M,A
000234 1A34 INX    H
000235 1A35 INX    D
000236 1A36 DCR    B --- B: DB
000237 1A37 JNZ    $1A32
000238 1A32 LDAX   D
000239 1A33 MOV    M,A
000240 1A34 INX    H
000241 1A35 INX    D
000242 1A36 DCR    B --- B: DA
000243 1A37 JNZ    $1A32
000244 1A32 LDAX   D
000245 1A33 MOV    M,A
000246 1A34 INX    H
000247 1A35 INX    D
000248 1A36 DCR    B --- B: D9
000249 1A37 JNZ    $1A32
000250 1A32 LDAX   D
000251 1A33 MOV    M,A
000252 1A34 INX    H
000253 1A35 INX    D
000254 1A36 DCR    B --- B: D8
000255 1A37 JNZ    $1A32
000256 1A32 LDAX   D
000257 1A33 MOV    M,A
000258 1A34 INX    H
000259 1A35 INX    D
000260 1A36 DCR    B --- B: D7
000261 1A37 JNZ    $1A32
000262 1A32 LDAX   D
000263 1A33 MOV    M,A
000264 1A34 INX    H
000265 1A35 INX    D
000266 1A36 DCR    B --- B: D6
000267 1A37 JNZ    $1A32
000268 1A32 LDAX   D
000269 1A33 MOV    M,A
000270 1A34 INX    H
000271 1A35 INX    D
000272 1A36 DCR    B --- B: D5
000273 1A37 JNZ    $1A32
000274 1A32 LDAX   D
000275 1A33 MOV    M,A
000276 1A34 INX    H
000277 1A35 INX    D
000278 1A36 DCR    B --- B: D4
000279 1A37 JNZ    $1A32
000280 1A32 LDAX   D
000281 1A33 MOV    M,A
000282 1A34 INX    H
000283 1A35 INX    D
000284 1A36 DCR    B --- B: D3
000285 1A37 JNZ    $1A32
000286 1A32 LDAX   D
000287 1A33 MOV    M,A
000288 1A34 INX    H
000289 1A35 INX    D
000290 1A36 DCR    B --- B: D2
000291 1A37 JNZ    $1A32
000292 1A32 LDAX   D
000293 1A33 MOV    M,A
000294 1A34 INX    H
000295 1A35 INX    D
000296 1A36 DCR    B --- B: D1
000297 1A37 JNZ    $1A32
000298 1A32 LDAX   D
000299 1A33 MOV    M,A
000300 1A34 INX    H
000301 1A35 INX    D
000302 1A36 DCR    B --- B: D0
000303 1A37 JNZ    $1A32
000304 1A32 LDAX   D
000305 1A33 MOV    M,A
000306 1A34 INX    H
000307 1A35 INX    D
000308 1A36 DCR    B --- B: CF
000309 1A37 JNZ    $1A32
000310 1A32 LDAX   D
000311 1A33 MOV    M,A
000312 1A34 INX    H
000313 1A35 INX    D
000314 1A36 DCR    B --- B: CE
000315 1A37 JNZ    $1A32
000316 1A32 LDAX   D
000317 1A33 MOV    M,A
000318 1A34 INX    H
000319 1A35 INX    D
000320 1A36 DCR    B --- B: CD
000321 1A37 JNZ    $1A32
000322 1A32 LDAX   D
000323 1A33 MOV    M,A
000324 1A34 INX    H
000325 1A35 INX    D
000326 1A36 DCR    B --- B: CC
000327 1A37 JNZ    $1A32
000328 1A32 LDAX   D
000329 1A33 MOV    M,A
000330 1A34 INX    H
000331 1A35 INX    D
000332 1A36 DCR    B --- B: CB
000333 1A37 JNZ    $1A32
000334 1A32 LDAX   D
000335 1A33 MOV    M,A
000336 1A34 INX    H
000337 1A35 INX    D
000338 1A36 DCR    B --- B: CA
000339 1A37 JNZ    $1A32
000340 1A32 LDAX   D
000341 1A33 MOV    M,A
000342 1A34 INX    H
000343 1A35 INX    D
000344 1A36 DCR    B --- B: C9
000345 1A37 JNZ    $1A32
000346 1A32 LDAX   D
000347 1A33 MOV    M,A
000348 1A34 INX    H
000349 1A35 INX    D
000350 1A36 DCR    B --- B: C8
000351 1A37 JNZ    $1A32
000352 1A32 LDAX   D
000353 1A33 MOV    M,A
000354 1A34 INX    H
000355 1A35 INX    D
000356 1A36 DCR    B --- B: C7
000357 1A37 JNZ    $1A32
000358 1A32 LDAX   D
000359 1A33 MOV    M,A
000360 1A34 INX    H
000361 1A35 INX    D
000362 1A36 DCR    B --- B: C6
000363 1A37 JNZ    $1A32
000364 1A32 LDAX   D
000365 1A33 MOV    M,A
000366 1A34 INX    H
000367 1A35 INX    D
000368 1A36 DCR    B --- B: C5
000369 1A37 JNZ    $1A32
000370 1A32 LDAX   D
000371 1A33 MOV    M,A
000372 1A34 INX    H
000373 1A35 INX    D
000374 1A36 DCR    B --- B: C4
000375 1A37 JNZ    $1A32
000376 1A32 LDAX   D
000377 1A33 MOV    M,A
000378 1A34 INX    H
000379 1A35 INX    D
000380 1A36 DCR    B --- B: C3
000381 1A37 JNZ    $1A32
000382 1A32 LDAX   D
000383 1A33 MOV    M,A
000384 1A34 INX    H
000385 1A35 INX    D
000386 1A36 DCR    B --- B: C2
000387 1A37 JNZ    $1A32
000388 1A32 LDAX   D
000389 1A33 MOV    M,A
000390 1A34 INX    H
000391 1A35 INX    D
000392 1A36 DCR    B --- B: C1
000393 1A37 JNZ    $1A32
000394 1A32 LDAX   D
000395 1A33 MOV    M,A
000396 1A34 INX    H
000397 1A35 INX    D
000398 1A36 DCR    B --- B: C0
000399 1A37 JNZ    $1A32
000400 1A32 LDAX   D
000401 1A33 MOV    M,A
000402 1A34 INX    H
000403 1A35 INX    D
000404 1A36 DCR    B --- B: BF
000405 1A37 JNZ    $1A32
000406 1A32 LDAX   D
000407 1A33 MOV    M,A
000408 1A34 INX    H
000409 1A35 INX    D
000410 1A36 DCR    B --- B: BE
000411 1A37 JNZ    $1A32
000412 1A32 LDAX   D
000413 1A33 MOV    M,A
000414 1A34 INX    H
000415 1A35 INX    D
000416 1A36 DCR    B --- B: BD
000417 1A37 JNZ    $1A32
000418 1A32 LDAX   D
000419 1A33 MOV    M,A
000420 1A34 INX    H
000421 1A35 INX    D
000422 1A36 DCR    B --- B: BC
000423 1A37 JNZ    $1A32
000424 1A32 LDAX   D
000425 1A33 MOV    M,A
000426 1A34 INX    H
000427 1A35 INX    D
000428 1A36 DCR    B --- B: BB
000429 1A37 JNZ    $1A32
000430 1A32 LDAX   D
000431 1A33 MOV    M,A
000432 1A34 INX    H
000433 1A35 INX    D
000434 1A36 DCR    B --- B: BA
000435 1A37 JNZ    $1A32
000436 1A32 LDAX   D
000437 1A33 MOV    M,A
000438 1A34 INX    H
000439 1A35 INX    D
000440 1A36 DCR    B --- B: B9
000441 1A37 JNZ    $1A32
000442 1A32 LDAX   D
000443 1A33 MOV    M,A
000444 1A34 INX    H
000445 1A35 INX    D
000446 1A36 DCR    B --- B: B8
000447 1A37 JNZ    $1A32
000448 1A32 LDAX   D
000449 1A33 MOV    M,A
000450 1A34 INX    H
000451 1A35 INX    D
000452 1A36 DCR    B --- B: B7
000453 1A37 JNZ    $1A32
000454 1A32 LDAX   D
000455 1A33 MOV    M,A
000456 1A34 INX    H
000457 1A35 INX    D
000458 1A36 DCR    B --- B: B6
000459 1A37 JNZ    $1A32
000460 1A32 LDAX   D
000461 1A33 MOV    M,A
000462 1A34 INX    H
000463 1A35 INX    D
000464 1A36 DCR    B --- B: B5
000465 1A37 JNZ    $1A32
000466 1A32 LDAX   D
000467 1A33 MOV    M,A
000468 1A34 INX    H
000469 1A35 INX    D
000470 1A36 DCR    B --- B: B4
000471 1A37 JNZ    $1A32
000472 1A32 LDAX   D
000473 1A33 MOV    M,A
000474 1A34 INX    H
000475 1A35 INX    D
000476 1A36 DCR    B --- B: B3
000477 1A37 JNZ    $1A32
000478 1A32 LDAX   D
000479 1A33 MOV    M,A
000480 1A34 INX    H
000481 1A35 INX    D
000482 1A36 DCR    B --- B: B2
000483 1A37 JNZ    $1A32
000484 1A32 LDAX   D
000485 1A33 MOV    M,A
000486 1A34 INX    H
000487 1A35 INX    D
000488 1A36 DCR    B --- B: B1
000489 1A37 JNZ    $1A32
000490 1A32 LDAX   D
000491 1A33 MOV    M,A
000492 1A34 INX    H
000493 1A35 INX    D
000494 1A36 DCR    B --- B: B0
000495 1A37 JNZ    $1A32
000496 1A32 LDAX   D
000497 1A33 MOV    M,A
000498 1A34 INX    H
000499 1A35 INX    D
000500 1A36 DCR    B --- B: AF
000501 1A37 JNZ    $1A32
000502 1A32 LDAX   D
000503 1A33 MOV    M,A
000504 1A34 INX    H
000505 1A35 INX    D
000506 1A36 DCR    B --- B: AE
000507 1A37 JNZ    $1A32
000508 1A32 LDAX   D
000509 1A33 MOV    M,A
000510 1A34 INX    H
000511 1A35 INX    D
000512 1A36 DCR    B --- B: AD
000513 1A37 JNZ    $1A32
000514 1A32 LDAX   D
000515 1A33 MOV    M,A
000516 1A34 INX    H
000517 1A35 INX    D
000518 1A36 DCR    B --- B: AC
000519 1A37 JNZ    $1A32
000520 1A32 LDAX   D
000521 1A33 MOV    M,A
000522 1A34 INX    H
000523 1A35 INX    D
000524 1A36 DCR    B --- B: AB
000525 1A37 JNZ    $1A32
000526 1A32 LDAX   D
000527 1A33 MOV    M,A
000528 1A34 INX    H
000529 1A35 INX    D
000530 1A36 DCR    B --- B: AA
000531 1A37 JNZ    $1A32
000532 1A32 LDAX   D
000533 1A33 MOV    M,A
000534 1A34 INX    H
000535 1A35 INX    D
000536 1A36 DCR    B --- B: A9
000537 1A37 JNZ    $1A32
000538 1A32 LDAX   D
000539 1A33 MOV    M,A
000540 1A34 INX    H
000541 1A35 INX    D
000542 1A36 DCR    B --- B: A8
000543 1A37 JNZ    $1A32
000544 1A32 LDAX   D
000545 1A33 MOV    M,A
000546 1A34 INX    H
000547 1A35 INX    D
000548 1A36 DCR    B --- B: A7
000549 1A37 JNZ    $1A32
000550 1A32 LDAX   D
000551 1A33 MOV    M,A
000552 1A34 INX    H
000553 1A35 INX    D
000554 1A36 DCR    B --- B: A6
000555 1A37 JNZ    $1A32
000556 1A32 LDAX   D
000557 1A33 MOV    M,A
000558 1A34 INX    H
000559 1A35 INX    D
000560 1A36 DCR    B --- B: A5
000561 1A37 JNZ    $1A32
000562 1A32 LDAX   D
000563 1A33 MOV    M,A
000564 1A34 INX    H
000565 1A35 INX    D
000566 1A36 DCR    B --- B: A4
000567 1A37 JNZ    $1A32
000568 1A32 LDAX   D
000569 1A33 MOV    M,A
000570 1A34 INX    H
000571 1A35 INX    D
000572 1A36 DCR    B --- B: A3
000573 1A37 JNZ    $1A32
000574 1A32 LDAX   D
000575 1A33 MOV    M,A
000576 1A34 INX    H
000577 1A35 INX    D
000578 1A36 DCR    B --- B: A2
000579 1A37 JNZ    $1A32
000580 1A32 LDAX   D
000581 1A33 MOV    M,A
000582 1A34 INX    H
000583 1A35 INX    D
000584 1A36 DCR    B --- B: A1
000585 1A37 JNZ    $1A32
000586 1A32 LDAX   D
000587 1A33 MOV    M,A
000588 1A34 INX    H
000589 1A35 INX    D
000590 1A36 DCR    B --- B: A0
000591 1A37 JNZ    $1A32
000592 1A32 LDAX   D
000593 1A33 MOV    M,A
000594 1A34 INX    H
000595 1A35 INX    D
000596 1A36 DCR    B --- B: 9F
000597 1A37 JNZ    $1A32
000598 1A32 LDAX   D
000599 1A33 MOV    M,A
000600 1A34 INX    H
000601 1A35 INX    D
000602 1A36 DCR    B --- B: 9E
000603 1A37 JNZ    $1A32
000604 1A32 LDAX   D
000605 1A33 MOV    M,A
000606 1A34 INX    H
000607 1A35 INX    D
000608 1A36 DCR    B --- B: 9D
000609 1A37 JNZ    $1A32
000610 1A32 LDAX   D
000611 1A33 MOV    M,A
000612 1A34 INX    H
000613 1A35 INX    D
000614 1A36 DCR    B --- B: 9C
000615 1A37 JNZ    $1A32
000616 1A32 LDAX   D
000617 1A33 MOV    M,A
000618 1A34 INX    H
000619 1A35 INX    D
000620 1A36 DCR    B --- B: 9B
000621 1A37 JNZ    $1A32
000622 1A32 LDAX   D
000623 1A33 MOV    M,A
000624 1A34 INX    H
000625 1A35 INX    D
000626 1A36 DCR    B --- B: 9A
000627 1A37 JNZ    $1A32
000628 1A32 LDAX   D
000629 1A33 MOV    M,A
000630 1A34 INX    H
000631 1A35 INX    D
000632 1A36 DCR    B --- B: 99
000633 1A37 JNZ    $1A32
000634 1A32 LDAX   D
000635 1A33 MOV    M,A
000636 1A34 INX    H
000637 1A35 INX    D
000638 1A36 DCR    B --- B: 98
000639 1A37 JNZ    $1A32
000640 1A32 LDAX   D
000641 1A33 MOV    M,A
000642 1A34 INX    H
000643 1A35 INX    D
000644 1A36 DCR    B --- B: 97
000645 1A37 JNZ    $1A32
000646 1A32 LDAX   D
000647 1A33 MOV    M,A
000648 1A34 INX    H
000649 1A35 INX    D
000650 1A36 DCR    B --- B: 96
000651 1A37 JNZ    $1A32
000652 1A32 LDAX   D
000653 1A33 MOV    M,A
000654 1A34 INX    H
000655 1A35 INX    D
000656 1A36 DCR    B --- B: 95
000657 1A37 JNZ    $1A32
000658 1A32 LDAX   D
000659 1A33 MOV    M,A
000660 1A34 INX    H
000661 1A35 INX    D
000662 1A36 DCR    B --- B: 94
000663 1A37 JNZ    $1A32
000664 1A32 LDAX   D
000665 1A33 MOV    M,A
000666 1A34 INX    H
000667 1A35 INX    D
000668 1A36 DCR    B --- B: 93
000669 1A37 JNZ    $1A32
000670 1A32 LDAX   D
000671 1A33 MOV    M,A
000672 1A34 INX    H
000673 1A35 INX    D
000674 1A36 DCR    B --- B: 92
000675 1A37 JNZ    $1A32
000676 1A32 LDAX   D
000677 1A33 MOV    M,A
000678 1A34 INX    H
000679 1A35 INX    D
000680 1A36 DCR    B --- B: 91
000681 1A37 JNZ    $1A32
000682 1A32 LDAX   D
000683 1A33 MOV    M,A
000684 1A34 INX    H
000685 1A35 INX    D
000686 1A36 DCR    B --- B: 90
000687 1A37 JNZ    $1A32
000688 1A32 LDAX   D
000689 1A33 MOV    M,A
000690 1A34 INX    H
000691 1A35 INX    D
000692 1A36 DCR    B --- B: 8F
000693 1A37 JNZ    $1A32
000694 1A32 LDAX   D
000695 1A33 MOV    M,A
000696 1A34 INX    H
000697 1A35 INX    D
000698 1A36 DCR    B --- B: 8E
000699 1A37 JNZ    $1A32
000700 1A32 LDAX   D
000701 1A33 MOV    M,A
000702 1A34 INX    H
000703 1A35 INX    D
000704 1A36 DCR    B --- B: 8D
000705 1A37 JNZ    $1A32
000706 1A32 LDAX   D
000707 1A33 MOV    M,A
000708 1A34 INX    H
000709 1A35 INX    D
000710 1A36 DCR    B --- B: 8C
000711 1A37 JNZ    $1A32
000712 1A32 LDAX   D
000713 1A33 MOV    M,A
000714 1A34 INX    H
000715 1A35 INX    D
000716 1A36 DCR    B --- B: 8B
000717 1A37 JNZ    $1A32
000718 1A32 LDAX   D
000719 1A33 MOV    M,A
000720 1A34 INX    H
000721 1A35 INX    D
000722 1A36 DCR    B --- B: 8A
000723 1A37 JNZ    $1A32
000724 1A32 LDAX   D
000725 1A33 MOV    M,A
000726 1A34 INX    H
000727 1A35 INX    D
000728 1A36 DCR    B --- B: 89
000729 1A37 JNZ    $1A32
000730 1A32 LDAX   D
000731 1A33 MOV    M,A
000732 1A34 INX    H
000733 1A35 INX    D
000734 1A36 DCR    B --- B: 88
000735 1A37 JNZ    $1A32
000736 1A32 LDAX   D
000737 1A33 MOV    M,A
000738 1A34 INX    H
000739 1A35 INX    D
000740 1A36 DCR    B --- B: 87
000741 1A37 JNZ    $1A32
000742 1A32 LDAX   D
000743 1A33 MOV    M,A
000744 1A34 INX    H
000745 1A35 INX    D
000746 1A36 DCR    B --- B: 86
000747 1A37 JNZ    $1A32
000748 1A32 LDAX   D
000749 1A33 MOV    M,A
000750 1A34 INX    H
000751 1A35 INX    D
000752 1A36 DCR    B --- B: 85
000753 1A37 JNZ    $1A32
000754 1A32 LDAX   D
000755 1A33 MOV    M,A
